ERRC1_ERRA;Информирование о том, что диагностический код с приоритетом «A» активен;Информирование о возникновении одной из неустранимых ошибок
ERRC1_ERRB;Информирование о том, что диагностический код с приоритетом «B» активен;Информирование о возникновении одной из устранимых ошибок
ERRC1_CODE_1;Код  №1 - Обрыв провода в контуре приводного двигателя двери M1;Неустранимая ошибка №1Отказ блокировки двери
ERRC1_CODE_2;Код  №2 - Отказ концевого выключателя дверь закрыта S1.1;Неустранимая ошибка №2Ошибка при закрытии двери
ERRC1_CODE_3;Код  №3 - Отказ концевого выключателя дверь закрыта S2.1;Неустранимая ошибка №3Неисправность S3 – Выключатель «Заблокировано»
ERRC1_CODE_38;Код №38 – Отказ концевого выключателя дверь закрыта S1.2;Неустранимая ошибка №4Неисправность S9 – Выключатель «Закрыто»
ERRC1_CODE_30 ;Код №39 – Отказ концевого выключателя дверь закрыта S2.2;Неустранимая ошибка №5Неисправность S1.1 – Переключатель «Контроль левой створки»
ERRC1_CODE_43;Код №43 – Отказ устройства блокировки двери Y1;Неустранимая ошибка №6Неисправность S2.1 – Переключатель «Контроль правой створки»
ERRC1_CODE_44;Код №44 – Дверь самопроизвольно выходит из положения закрыто;Неустранимая ошибка №7Неисправность M1 – Двигатель вентильный
ERRC1_CODE_46;Код №46 – Отказ концевого выключателя дополнительного устройства блокировки S98.1;Неустранимая ошибка №8Неисправность энкодера М1
ERRC1_CODE_47;Код №47 – Отказ концевого выключателя дополнительного устройства блокировки S99.1;Неустранимая ошибка №9Неисправность внутреннего реле безопасности
ERRC1_CODE_66;Код №66 – Отказ устройства вывода из эксплуатации (концевой выключатель S5);Неустранимая ошибка №10Неисправность Y6 – Левый соленоид блокировки
ERRC1_CODE_4  ;Код №4 – Дверь не разблокируется в течение 3 секунд;Неустранимая ошибка №11Неисправность Y7 – Правый соленоид блокировки
ERRC1_CODE_5  ;Код №5 – Отказ датчика положения двери;Неустранимая ошибка №12Ошибка при открытии двери
ERRC1_CODE_6  ;Код №6 – Функция обнаружения препятствий в ходе цикла закрывания была активирована при фиксированном количестве последовательных попыток закрывания;Неустранимая ошибка №13Неисправность S6 – Выключатель аварийного открытия
ERRC1_CODE_7  ;Код №7 – Контроль движения двери в ходе цикла открывания был активирован при фиксированном количестве последовательных попыток открывания;Неустранимая ошибка №14Неисправность S73 – Переключатель «Положение аппарели»
ERRC2_CODE_8  ;Код №8 – Отказ внутреннего канала безопасности БУД;Неустранимая ошибка №15Неисправность соленоида Y4
ERRC2_CODE_22 ;Код №22 – Серьезный внутренний отказ БУД;Неустранимая ошибка №16Короткое замыкание цепей 24В
ERRC2_CODE_29 ;Код №29 – Отказ функций реле;Неустранимая ошибка №17Короткое замыкание цепей 110В
ERRC2_CODE_13 ;Код №13 – Неисправность на выходе БУД O001: “резервный”;Резерв
ERRC2_CODE_14 ;Код №14 – Неисправность на выходе БУД O002: H13 – сигнальная лампа внутри портала;Резерв
ERRC2_CODE_15 ;Код №15 – Неисправность на выходе БУД O003: H11, H12 – подсветка LED полосы дверной створки левой/правой снаружи: красная;Резерв
ERRC2_CODE_16 ;Код №16 – Неисправность на выходе БУД O004: Y1 – зубчатый тормоз двери;Резерв
ERRC2_CODE_17 ;Код №17 – Неисправность на выходе БУД O005: H1 – зуммер;Резерв
ERRC2_CODE_18 ;Код №18 – Неисправность на выходе БУД O006:  B1, B2 –питание: световой барьер;Резерв
ERRC2_CODE_19 ;Код №19 – Неисправность на выходе БУД O007: S21, S22 – подсветка кнопки открытия дверной створки снаружи/внутри;Резерв
ERRC2_CODE_20 ;Код №20 – Неисправность на выходе БУД O008: S31,S32 – подсветка кнопки дверной створки МГН снаружи/внутри;Резерв
ERRC2_CODE_21 ;Код №21 – Неисправность на выходе БУД O009: S21, S22, S31, S32 – питание элементов двери лев./прав..;Резерв
ERRC2_CODE_50 ;Код №50 – Неисправность на выходе БУД O010: H11 – подсветка LED полосы дверной створки левой снаружи: зеленая;Устранимая ошибка №1Потеря блокировки двери
ERRC2_CODE_51 ;Код №51 – Неисправность на выходе БУД O011: H12 – подсветка LED полосы дверной створки правой снаружи: зеленая;Устранимая ошибка №2Задержка при открытии двери
ERRC2_CODE_52 ;Код №52 – Неисправность на выходе БУД O012: S1.1, S1.2, S2.1, S2.2, S3.1, S5, S654, S73, S98.1, S99.1 – питание: концевые выключатели двери;Устранимая ошибка №3Неисправность S4 – Датчик «Защитная кромка»
ERRC2_CODE_53 ;Код №53 – Короткое замыкание на источнике питания 5V БУД датчика положения двери;Устранимая ошибка №4Обрыв S4 – Датчик «Защитная кромка»
ERRC3_CODE_23 ;Код №23 – Неисправность датчика противозажатия;Устранимая ошибка №5Неисправность S21/S22/S23 – Кнопка «Открыть»
